"Antwort ID","Datum Abgeschickt","Letzte Seite","Start-Sprache","Zufallsgeneratorstartwert","Datum gestartet","Datum letzte Aktivität","VP-Nummer ","Gib an, zu welcher Fahrt dieses Interview geführt wird ","Gruppe A - Termin 2: H-on  Anmerkungen zum Probanden, z.B. während Einweisung oder Fahrt  (VL-Protokoll Termin A-1) ","Gruppe A - Termin 2: H-on  Anmerkungen zum Fahrzeug, z.B. Abwurf ohne Grund, Fehlermeldung, ...(VL-Protokoll Termin A-1) ","Gruppe A - Termin 2: H-off  Anmerkungen zum Probanden, z.B. während Einweisung oder Fahrt ","Gruppe A - Termin 2: H-off  Anmerkungen zum Fahrzeug, z.B. Abwurf ohne Grund, Fehlermeldung, ... ","Gruppe B (H-off)  Anmerkungen zum Probanden, z.B. während Einweisung oder Fahrt ","Gruppe B (H-off)  Anmerkungen zum Fahrzeug, z.B. Abwurf ohne Grund, Fehlermeldung, ... ","Sonstige Anmerkungen  kurze Notiz zu den Wetterbedingungen und zum Zustand der Straße machen:- Wetter: z.B. hell, bewölkt oder dämmrig, blauer Himmel oder ....- Straße: nass, feucht, schneebedeckt, trocken, ... ","Trigger  Haben Sie während der Fahrt den Triggerknopf gedrückt? Bitte führen Sie noch einmal aus, was Ihnen in diesem Moment aufgefallen ist, bzw. was sie uns mitteilen möchten. ","Fahrerinitiierte Transitionen  Während der Autobahnfahrten sind Sie einen Großteil der Zeit mit L2 gefahren. In verschiedenen Situationen - zum Beispiel beim Auffahren auf oder Abfahren von Autobahnen - haben Sie das System aktiviert oder deaktiviert, um damit in einen anderen Fahrmodus wechseln.Gab es hierbei Situationen oder Aspekte, über die Sie uns gerne mehr erzählen würden? ","Systeminitiierte Transitionen  Während der Autobahnfahrten sind Sie einen Großteil der Zeit mit L2 gefahren. In verschiedenen Situationen hat das System von sich L2 teilweise oder komplett deaktiviert oder Sie zu einer Übernahme aufgefordert.  Gab es hierbei Situationen, über die Sie uns gerne mehr erzählen würden? ","DMS  Wenn L2 aktiv war, gab es ein Fahrerbeobachtungssystem, das gewarnt hat, wenn Sie   	ON --&gt; die Hände zu lange vom Lenkrad genommen haben.oder 	OFF --&gt; zu lange von der Straße weggesehen haben.   Möchten Sie dieses Fahrerbeobachtungssystem noch einmal genauer kommentieren oder bewerten oder Ihre Erlebnisse mit dem Fahrerbeobachtungssystem beschreiben?  ","HMI  Für die Bedienung von L2 haben Sie verschiedene Tasten am Lenkrad verwendet. Je nach Systemzustand wurden Ihnen im Anschluss unterschiedliche Anzeigen im Kombi-Display (oder dem Head-up Display) angezeigt.  Möchten Sie allgemein die Bedienung des L2 Systems oder die verwendeten Anzeigen noch einmal genauer kommentieren bzw. bewerten? ","Systemverhalten  Während der Nutzung von L2 haben Sie die aktive Spurführung, die Geschwindigkeitskontrolle, das Halten des Abstandes und die Interaktion mit anderen Verkehrsteilnehmern in verschiedenen Situationen erlebt.  Möchten Sie dieses Fahrverhalten des Systems noch einmal genauer kommentieren bzw. bewerten oder Ihre Erlebnisse beschreiben? ","Bewertung L2  In diesem Versuch konnten Sie Erfahrungen mit L2 sammeln. Würden Sie dies auch gern in Ihrem privaten Fahrzeug nutzen? ","Bewertung L2  Welche Komponente von L2 würden Sie auch gern in Ihrem privaten Fahrzeug nutzen?  [Längsführung/ACC]","Bewertung L2  Welche Komponente von L2 würden Sie auch gern in Ihrem privaten Fahrzeug nutzen?  [Querführung/Spurhaltung/Lenken]","Bewertung L2  Welche Komponente von L2 würden Sie auch gern in Ihrem privaten Fahrzeug nutzen?  [nur für A-2 &amp; B beantwortbarH-off/Hände frei nutzen können]","Bewertung L2  Stellen Sie sich vor, Ihr privates Fahrzeug wird mit einem L2 System ausgestattet.Hätten Sie lieber die Variante H-on oder die Variante H-off? ","Bewertung L2 Anmerkungen zu den vorigen Fragen/Antworten vom Probanden zur L2-Bewertung.","Haben Sie noch weitere Kommentare oder Anmerkungen zu der erlebten Fahrt mit L2?","Haben Sie noch weitere Kommentare oder Anmerkungen zu der Studie?","Gesamtzeit","Gruppenzeit: Metadaten","Fragenzeit: VP","Fragenzeit: Fahrt","Gruppenzeit: VL-Protokoll","Fragenzeit: AOnVP","Fragenzeit: AOnFzg","Fragenzeit: AOffVP","Fragenzeit: AOffFzg","Fragenzeit: BOffVP","Fragenzeit: BOffFzg","Fragenzeit: VLProtSonst","Gruppenzeit: Leitfaden","Fragenzeit: Trigger","Fragenzeit: FahrerTrans","Fragenzeit: SystemTrans","Fragenzeit: DMS","Fragenzeit: HMI","Fragenzeit: Systemverhalten","Fragenzeit: L2PrivNutzung","Fragenzeit: L2Komponenten","Fragenzeit: Ranking","Fragenzeit: L2BewertungKomm","Fragenzeit: Sonstiges","Fragenzeit: Studie"
"78","2022-04-01 13:10:10","3","de","737526333","2022-04-01 12:38:19","2022-04-01 13:10:10","11","Gruppe A - Termin 2: H-off","1x im stand by Hände weg genommen
nach Wenden: VP schaltet L2 aus anstatt zu reaktivieren","","E: VP testet Blickabwendung bis erste Warnung
V: Baustelle: VP schaltet System aus, da er System in Baustelle eh nicht nutzen kann -> danach wieder an
VP will Überholvorgang starten -> beobachtet nur Außenspiegel -> Warnung durch Anzeige & Ton (Straße beachten)","V: starker Regen / Gischt: Abbruch zu manuell (Ton & Anzeige): 8x aus H-off & 1x aus H-on
Transition zu H-on (Anzeige): 6x

bei 34%: Warnung Akkustand zu niedrig & Ton -> VP greift sofort ans Lenkrad, obwohl H-off aktiv","","","","alles gesagt","In Baustelle aus, da VP sich wohler fühlt, wenn in der engen Spur nichts eingreift","Mehrere Male wegen Wetter
Beim ersten Mal ein bisschen erschrocken, danach sehr intuitiv und war klar warum","Würde sich eh nie trauen den Blick abzuwenden
Einmal bei Spurwechsel in den Seitenspiegel geschaut -> VP fand komisch dass System gewarnt hat, da Fahrer ja peripher die Situation sieht","Knöpfe: findet es besser beim Porsche, da er Bedienung nicht am Lenkrad haben will. Findet Hebel besser
Anzeige: groß genug, Farben sind verständlich (grau, grün, blau)","Besser als im Porsche, wirkte vorausschauender und weniger abrupt
Spurhaltung auch gut","Ja","Ja","Eher nein","Eher nein","H-off","Würde System nur bei Geschwindigkeitsbegrenzung unter 130 nutzen. Darüber zu geringes Vertrauen
Würde H-off nur bei weniger Verkehr und auf Landstraßen nutzen
","war spannend sowas zu fahren","cool","1909.91","13.08","","","1323.69","","","","","","","","573.14","","","","","","","","","","","",""
"80","2022-04-01 13:23:52","3","de","218652402","2022-04-01 13:12:04","2022-04-01 13:23:52","10","Gruppe A - Termin 2: H-on","","","","","","","","-","alles verständlich; man gewöhnt sich mit der Zeit--> vertrauen steigt--> steigt auch die Bewertung","kam nicht vor","keine Warnung","alles verständlich; Anzeige gut und ausreichende Menge; ","gefährlich das das Fahrzeug Abbiegespur Geschwindigkeit übernimmt obwohl auf eigener unbegrenzt ist; Beschleunigung langsam (vor allem bei Spurwechseln recht unnatürlich), abbremsen jedoch sehr hart (aber man gewöhnt sich); Spurführung gut; Ausscherer gut erkannt und reagiert; eigenes Fahrverhalten angepasst an Systemverhalten; manuell Spurwechsel ausführen; Autobahnabfahrt und Kreuz sollte Auto können;","Eher ja","Eher ja","Unsicher","nicht anwendbar [Spalte nur für A-2 H-On Interview & Frage 3]","","weil ich sowieso lenken muss; ACC hilfreicher","-","","707.81","8.92","","","2.79","","","","","","","","696.1","","","","","","","","","","","",""
"81","2022-04-01 15:23:39","3","de","1408890941","2022-04-01 15:03:34","2022-04-01 15:23:39","10","Gruppe A - Termin 2: H-off","gewöhnt sich recht gut, aber vertrauet dem System nur ungern und anfangs etwas schreckhaft; bremst früh selbst ab, weil irh das Auto angeblich zu spät bremst und nicht gut vorraussfährt ","-","ohne Assistenz entspannter: man konzentriert sich mehr bei L"" wegen Überwachung; teils sehr zaghaft beim Hände wegnehmen; sehr komische Handhaltungen manchmal wegen wenig Vertrauen (Hände in der Luft und wedeln bzw. schnipsen mit den Fingern und Händen)",".","","","-","-","einfach handzuhaben; keine kritischen Situationen; ","kam nicht vor; eventuell kurz am Anfang der baustelle aber kein Problem","kam nicht vor","einfacher als Ford; übersichtlich und sehr gut; Hände am Lenkrad beim automatischen Spurwechsel zu lange notwendig, sollte verkürzt werdne oder ohne Hände am Lenkrad möglich sein","Längs und Querführung ( sehr smooth) beides gut und besser als Ford Focus; nichts kritisches und einscherer kein problem; manueller Spurwechsel bevorzugt (automatik möglich und okay aber lieber manuell wegen sehr großen abstand notwendig bei automatik); früher beschleunigen bei Spurwechseln wäre besser","Eher ja","Eher ja","Eher ja","Unsicher","H-on","Längs udn Querführung gleich","-","-","1205.39","12.35","","","201.56","","","","","","","","991.48","","","","","","","","","","","",""
"82","2022-04-04 18:01:58","3","de","472416919","2022-04-04 17:46:08","2022-04-04 18:01:58","70","Gruppe B (H-off)","","","","","hatte wegen einscherendem Fahrzeug gebremst und dadurch deaktiviert; schien dann kurz verwirrt, warum das Fahrzeug so dicht auf das Vorderfahrzeug auffährt; L2 ließ sich auch nicht aktivieren wegen zu kleinem Mindestabstand (~ Minute 6)","Route: A9->A92 bis Landshut West wegen Stau & Sperrung auf A9; sehr dichter Verkehr, Baustelle zwischen Moosburg-Nord und Landshut-West.
2x Abbruch in Baustelle; auf Rückfahrt L2 nicht aktivierbar, vermutlich wg. geringer Spurbreite;
1x Eyes-off warning (hat Radio eingestellt)","","","","beim ersten Mal nicht verstanden, kann aber ja tausend Gründe geben, ab da also nicht schlimm. Habe es einfach akzeptiert","gar nicht wahrgenommen, gar nicht mitbekommen - eigentlich interessant, da hatte ich das Radio eingestellt vermute ich. Habe ich echt nicht mitbekommen.","relativ logisch - voll in Ordnung","System hat bei Spurwechseln abgebremst, da hat mir gut gefallen; wenn jemand anderes die Fahrbahn gewechselt hat, hat das System es nicht schnell genug mitbekommen; wenn man nicht genau hinschaut, dann ist es kritisch","Ja","Ja","Ja","Ja","","wäre mega geil - größte Entspannung ever beim Fahren. Man kann sich konzentrieren, was wesentlich ist und muss sich nicht auf bremsen und beschleunigen kozentrieren.","habe mich so schnell daran gewöhnt, dass ich sogar beim Runterfahren von der Autobahn es wieder aktivieren wollte - da funktioniert es natürlich nichtbeim","","950.34","11.15","","","155.68","","","","","","","","783.51","","","","","","","","","","","",""
"83","2022-04-05 11:35:53","3","de","1222256179","2022-04-05 11:02:21","2022-04-05 11:35:53","71","Gruppe B (H-off)","","","","","","3x Meldung bei Spurwechsel nach rechts, weil VP die hände zu kurz am Lenkrad hatte vor dem Blinken;
1x H-off Warning (gelbes Lenkrad mit blubb Geräusch) während des Spurwechsels nach rechts, Hände waren eigentlich dran

Stau bei Holledau, Verengung auf 1 Spur","","","","n.a.","","übersichtlich","Bremsung nicht immer richtig dosiert, manchmal zu fest, manchmal zu schwach.","Nein","Eher ja","Eher nein","Nein","","derzeit nicht; noch alles ziemlich am Anfang, noch nicht langzeiterprobt; ist noch Optimierungsbedarf","Vertrauen fehlt noch, Langzeiterfahrung","","1672.84","20.21","","","77.96","","","","","","","","1574.67","","","","","","","","","","","",""
"84","2022-04-05 18:18:01","3","de","391568747","2022-04-05 18:01:35","2022-04-05 18:18:01","72","Gruppe B (H-off)","","","","","fährt schneller als Geschwindigkeitslimits","3x Meldung beim Spurwechsel, dass Hände zu kurz am Lenkrad waren;
1x Versuch, Spurwechsel <80km/h durchzuführen
fährt in Baustelle recht viel auf mittlerer und linker Spur;
1x Meldung, dass DMS verdeckt sei (kurz nach Auffahren auf Autobahn bei Rückfahrt, ~Minute 19);
5x gelbes Lenkrad mit Blubbgeräusch beim Spurwechsel;
1x H-on Alert bei freier Fahrt auf linker Spur ( vielleicht zu schnell gewesen?)","stark bewölkt, hell","nee","","","n.a.","eigentlich gut; die Anzeige des Umgebungsverkehrs (mit Unterscheidung der Fahrzeuge) war sehr gut, habe mich dadurch auch sicherer gefühlt","Spurwechselassistent war nervig, weil es so lange gedauert hat, bis er Hände erkannt hat, bis man überhaupt den Spurwechsel beginnen konnte;
H-On Alert war komisch, davor auch irgendwann durfte ich die Hände nicht wegnehmen - keine Ahnung warum;
manchmal hat er gebremst, bevor er gewechselt hat, bevor er dann in der neuen Spur becshleunigt hat","Ja","Ja","Ja","Ja","","man braucht eine Eingewöhnugsphase, heute wäre ich manuell entspannter gefahren, langfristig wäre es aber ein Vorteil","","","985.71","9.43","","","161.58","","","","","","","","814.7","","","","","","","","","","","",""
"86","2022-04-06 15:52:09","3","de","1126572155","2022-04-06 15:33:40","2022-04-06 15:52:09","73","Gruppe B (H-off)","","","","","","8x Eyes-OffWarning (beim 2. Mal mit Bremsung)","leicht bewölkt, sonnig; 
trockene Straße ","","immer wie erwartet","ich hab's schon verstanden, musste aber kurz drüber nachdenken, warum das so war, z.B Hinweis wegen Baustelle wäre gut.","ich konnte beim ersten Mal damit nichts anfangen, hat mich verwirrt. Dann hat es mir aber gut geholfen - ich hatte gemerkt, dass ich gedanklich etwas abschweife. Daher war es hilfreich","klar und übersichtlich","ich war positiv überrascht. Habe mich sicher gefühlt dabei","Ja","Ja","Ja","Ja","","Füße kann man entspannen","am Anfang ungewohnt, aber wenn man sich dran gewöhnt hat, ist es sehr gut;
bin begeistert - läuft doch schon sehr gut.","","1110.29","9.25","","","55.06","","","","","","","","1045.98","","","","","","","","","","","",""
"88","2022-04-08 09:23:16","3","de","962807928","2022-04-08 09:11:30","2022-04-08 09:23:16","13","Gruppe A - Termin 2: H-on","","","","","","","stark bewölkt, regnerisch, Straßen sind nass; Licht relativ dunkel","Stau: dichter Verkehr --> einscherendes Fahrzeug 2x nicht erkannt und Proband musste drücken; einmal Hände dran aber Warnung kam (False Alarm?)","keine Anmerkungen; Vertrauen war am Anfang sehr hoch und hat dann abgenommen wegen Situationen beim Stau ","kam nicht vor","Warnung sofort verstanden und passt so; kam nur 1x vor","Bedienung einwandfrei und verständlich; ausreichend Infomenge und alles gut","Nebenspur Geschwindigekitbegrenzung übernommen was gefährlich ist; selten mal Fehler bei Geschwindigkeitskontrolle; Spurführung nicht sooo gut und manchmal herumgeeiert, gut dass wenn Proband dagegenlenkt dass das System nicht ausgeht; Spurwechsel automatisch vom system wäre cool aber muss nicht zwingend sein (hilfreich)","Eher ja","Ja","Eher ja","nicht anwendbar [Spalte nur für A-2 H-On Interview & Frage 3]","","ACC hilfreicher; H-Off wäre komfortabler","-","","705","51.05","","","58.77","","","","","","","","595.18","","","","","","","","","","","",""
"89","2022-04-08 11:15:08","3","de","1241708500","2022-04-08 10:57:31","2022-04-08 11:15:08","13","Gruppe A - Termin 2: H-off","schnelle Eingewöhnung; fährt sehr gut mit dem system","-","schnelle Eingewöhnung; Spurwechsel automatisch: Proband blinkt, ein Fahrzeug fährt durch und als es durch ist muss Proband aber erneut blinken damit das Fahrzeug den Spurwechsel macht; L2-H-off in baustelle mittlere Fahrbahn funktioniert nur H-on oder keine Spurführung --> genau heir würde sich der proband das System aber wünschen weil es hilfreich wäre; HUD anfangs störend, aber sehr hilfreich; L2 H-off führt dazu, dass man weniger Spurwechsel macht weil es nervig ist imemr wiedre die Hände dran zu nehmen; zu lange Zeit bis H-off weider verfügbar nach Spurwechsel (außer bei automatischem Spurwechsel); bei Spurwechselvorbereiten, Hände erden schon dran genommen oder dran gelassen was zu längeren H-On Zeiten führt obwohl man auch die Hände weglassen könnte --> keine Lust auf hin und her; H-off bei Spurwechsel wünschenswert und muss schneller gehen, dass man wieder hände danach wegnehmen kann; es wäre cool wenn Geschwindigkeitseinstellung auch ohne Lenkradeingriff möglich wäre --> zB. Geste","ein leicht gefährlicher Spurwechsel (siehe Triggerbutton)--> von hinten kommt mit hoher Geschwindigkiet ein fahrzeug und gleich zeit wechselt vorne mit uns auch ein fahrzeug rüber","","","stark bewölkt, nasse Straße aber wechselnde Bedingungen (bei Ingolstadt trockener); Licht relativ dunkel","siehe Kommentare vorher","automtaischer Spurwechsel war im Nachhinein doch besser handhabar und dann bessere Bewertung","in der Baustelle war Spurführung kurz nicht aktiv (mittlere Spur) aber es war nicht klar dass es die Spurführung ist --> schriftliche Meldung das Spurführung nicht aktiv ist; Modus war immer klar","kam nicht vor","Bedienung war einfach; Anzeige ausreichend Infomenge und nicht zu viel; Farben und Symbole alle verständlich; was das Auto erkennt ist gut, dass diese angezeigt wird","Hände weg bei automatischem Spurwechsel wäre gut; Längs- und Querführung besser als Passat uns insgesamt sehr gut; Spurwechsel eher unsichere Systemverhalten udn vielleicht auch verwirrend für andere Verkehrsteilnehmer;","Eher ja","Ja","Ja","Eher ja","H-off","ACC hilfreicher","-","-","1056.58","57.43","","","505.34","","","","","","","","493.81","","","","","","","","","","","",""
"90","2022-04-08 11:20:32","3","de","2108681022","2022-04-08 11:04:54","2022-04-08 11:20:32","15","Gruppe A - Termin 2: H-on","","","","","","","","keine Ergänzungen","zum Deaktivieren drückte VP immer Bremse","Ist des Öfteren beim Spurwechseln passiert, gerade bei Fahrbahntrennstreifen in schwarz bei Irschenberg
System aktiviert sich danach von selber wieder","gut, am Anfang gewöhnungsbedürftig: möchte Hände weg nehmen, da selber lenkt
schnelle Gewöhnung","System ist einfach zu bedienen
Knöpfe kann man auch blind bedienen (benutze kaum den Geschwindigkeitsverstellregler)
HUD fantastisch 
Symbole gut und selbsterklärend","Bremst teilweise bei Verkehrsschildern sehr spät
Funktioniert auf Landstraße sehr gut
1x Fahrzeug hätte fast Spurwechsel durchgeführt obwohl anderes Fahrzeug die Spur blockiert -> VP greift ein","Ja","Ja","Eher nein","nicht anwendbar [Spalte nur für A-2 H-On Interview & Frage 3]","","Spurwechsel nicht optimal, da Fahrzeug davor abbremst -> VP wünscht sich, dass Fahrzeug in dem Fall näher auffahren / beschleunigen würde
guter Sicherheitsfaktor, dass Fahrzeug vor anderen Fahrzeug warnt
Bei viel Verkehr würde VP keinen automatischen Spurwechsel durchführen","","","936.95","9.31","","","35.47","","","","","","","","892.17","","","","","","","","","","","",""
"91","2022-04-08 13:36:07","3","de","1844178602","2022-04-08 12:58:37","2022-04-08 13:36:06","15","Gruppe A - Termin 2: H-off","VP findet Spurwechsel super","","E: VP will System reaktivieren und drückt ""aus"" Taste
V: 
VP vergleicht Verhalten von Mach-E und iX bei gelben Fahrstreifen -> iX hatte mehr Schwierigkeiten
""entspanntes Fahren"", ""einfach zu benutzen""
stellt meist bei unbegrenzt auf 124 km/h","V:
2x Fahrzeug trotz aktiviertem L2 keine Querführung
2x Systemabbruch zu manuell (kontinuierlicher Ton & Anzeige) wahrscheinlich wegen Regen
Baustellenabfahrt: schlechte enge Spur -> Fahrzeug verlässt Spur -> VP unzufrieden","","","Regen, Fahrbahn nass
VP hat erwartet, dass Mach-E wie iX nicht rechts überholt -> eine starke Bremsung um ein Rechtsüberholen zu vermeiden","","","voll klar, wenn System abbricht, dass man selber übernehmen muss
nicht aufregend, ganz normal -> kein Schrecken","nicht gemerkt, keine Warnungen","easy zu bedienen
Knöpfe recht klein -> kann man nicht wirklich blind bedienen
HMI sofort ersichtlich was es bewirkt nach kurzer Eingewöhnung
gut, einfach, logisch","Systeme funktionieren ab und zu nicht so wie sie sollten
zu mindestens 95% funktioniert das System super","Ja","Ja","Ja","Ja","H-off","würde VP gerne nutzen
Längsführung besser als iX","nach Fahrt mit iX bereits mit solchen Systemen vertraut -> man kennt sich schnell aus
wünscht sich, dass nicht rechts überholt","Eindruck sehr positiv, hat Spaß gemacht, VP probiert gerne neue Sachen aus","2248.87","15.82","","","1725.63","","","","","","","","507.42","","","","","","","","","","","",""
"92","2022-04-08 14:17:03","3","de","613879518","2022-04-08 14:08:52","2022-04-08 14:17:03","14","Gruppe A - Termin 2: H-on","","","","","","","unklar ","nicht gedrückt ","nein ","immer situationsabhängig, wenn man gestresst ist könnte man vielleicht auch mal überreagieren","Erst war es ja leise, dann kam Ton. Zu häufig gewarnt. ","Wenn man am Fahren ist und der erkennt Geschwindigkeitsbegrenzungen, dann gibt es da wohl 2 Meldungen, ein mal mit blauem und ein mal mit rotem Schild. Die stimmen teilweise gar nicht. Hat man nicht imemr Grund erkannt und man selbst und andere mussten stark bremsen","Wenn Fahrzeug Geschwindigkeiten erkennt, bremst er sehr abrupt. Bei Folgen von Verkehr eher gut
erkennt gelbe Streifen schlecht und kommt nicht gut damit klar, wenn 
verliert teilweise Spuren und hält dann nicht mehr. 
2x hat er gesagt ich soll in Mtite von spur fahren, bin ich aber schon.
Dachte er schaut auch ob jemand anders nah an SPur ranfährt, tut er aber nicht","Eher nein","Nein","Nein","nicht anwendbar [Spalte nur für A-2 H-On Interview & Frage 3]","","Nutzen muss man natürlich auf Fahrt betrachten. Wenn ich in Urlaub fahre mit ganz entspannter Reise ja. Aber nicht im Alltag. ","Nein","","490.91","8.76","","","23.78","","","","","","","","458.37","","","","","","","","","","","",""
"93","2022-04-08 16:21:25","3","de","2038854330","2022-04-08 16:05:11","2022-04-08 16:21:25","14","Gruppe A - Termin 2: H-off","Proband will sofort nach Aktivierung L2 die Hände vom Lenkrad nehmen
Es kommt mehrfach die H-On Warnung
Bei Warnung greift er kurz ans Lenkrad und lässt dann wieder locker","-","Sagt dass Fragebogen ihm zu allgemein war, hätte mehr in die Tiefe gehen müssen (z.B. bei Frage ob man System selbst nutzen will: ""L2 ist ja noch im Anfangsstadium, jetzt will ich es nicht nutzen, später aber vielleicht schon"".
Sehr sehr häufige H-On Warnungen, meist gelb manchmal rot. Proband nimmt dann immer kurz die Hände ans Lenkrad und lässt dann aber wieder sofort los. 
","Über sehr lange Strecken kein H-Off verfügbar sondern nur H-On. Fehlermeldung durch Regen, dass Frontkamera verdeckt ist (wurde ein mal trocken gewischt, dann ist Meldung verschwunden, kam dann aber wieder durch Regen). 
L2 H-off funktionert immer wieder kurzfristig, dann aber auch wieder lange nicht.
in Baustelle 1x unerkannter Systemabwurf (macht blub-Ton, fängt dann an aus Spur rauszufahren). 1x in Baustelle sehr starke Kurve","","","sehr nass, regnet mittel bis stark, Aufwirbelungen und dadurch schlechte Sicht auf Straße, bewölkt. Gegen Ende klart es auf. Führt wiederholt zu Warnmeldung, dass die Frontkamera verdeckt sei (dann nur H-on möglich)","gabs nicht","Ich hatte den Fahrstreifenwechsel angekündigt und er hat das nicht gemacht, war mir dann nicht klar, warum nicht","Das ist natürlich nciht immer so klar ersichtlich, wann man Steuerung wieder übernehmen soll, aber ist jetzt keine Stresssituation oder so. Man hat natürlich schon Bedürfnis zu wissen warum das so ist aber gut ","Das ist z.B. dann, wenn man einen Fahrstreifenwechsel machen möchte und sich verstärkt auf Außenwechsel konzentriert um zu schauen obs geht. Dadurch verliert man Fokus auf Lenkrad und dadurch kommt es zu solchen SIgnalen. ","Ich würde so ein System immer nur mit HUD bevorzugen weil der Blick näher zur Strae gerichtet ist und man bekommt mehr vom Verkehrsgeschehen mit. Finde HUD sehr wichtig.","Das ist vom Handling, vom Fahren, deutlich besser als mit Porsche. Man merkt dass da ein Entwicklungsstand dazwischen ist, ist deutlich angenehmer. ","Eher ja","Ja","Ja","Eher ja","H-off","Würde Möglichkeit Hände wegzunehmen nutzen wenn dieser Check Hände wieder dran zu nehmen nicht da wäre (denkt H-On Warner ist Teil von H-off).","war ganz nett mal Elektroauto zu fahren :)","-","973.41","11.94","","","334.58","","","","","","","","626.89","","","","","","","","","","","",""
"94","2022-04-13 14:16:23","3","de","533154960","2022-04-13 13:54:41","2022-04-13 14:16:23","16","Gruppe A - Termin 2: H-on","","","","","","","eher sonnig die letzten Tage ","Nein ","Auf der Autobahn immer angehabt bis ich runtergefahren bin, auf Autobahn eigentlich immer an. Nicht funktioniert: Bei Autobahnauffahrt hat es von 3 mal 1 mal nicht funktioniert. ","Nein, ist nie von alleine ausgegangen. Wenn man mal den Flow drauf hat dass man selbst nicht bremsen muss läuft das eigentlich die ganze Zeit so mit.","Oft aufgefallen: obwohl beide Hände am Lenkrad sind macht er trotzdem die Warnung. Habe nicht rausgefunden ob's da ne spezielle Markierung gibt, wo man die Hände haben muss dass das nicht kommt. Hatte immer 3 und 9 Uhr die Hände. Da kam dann Audio-Ton","Finde war zu jeder Zeit klar und deutlich ersichtlich. ","Bei Baustellen, bei anderen Bodenmarkierungen, da ist er manchmal etwas verwirrt und versuch rüberzuziehen wenn er vielleicht noch die alte Spur erkennt.
Und: Wenn man fährt und einer schert vor einem plötzlich rein, dann bremst er zu stark. Ist aber für ihn auch nicht vorhersehbar. Ich würde es vielleicht sehen mit Blinken von anderem Fahrzeug, aber System bremst zu stark. Aber ist halt systemabhängig. 
Und: wird relativ schnell langsam wenn er bremsen muss und beschleunigt dann aber wieder zu langsam (viel langsamer als das Fahrzeug könnte). ","Ja","Ja","Unsicher","nicht anwendbar [Spalte nur für A-2 H-On Interview & Frage 3]","","","Notiz: Bei Laden in Garage kam mal ""Überspannung"" als Warnmeldung. Und einmal kam Meldung dass Notruf nicht mehr funktioniert","","1302.11","17.34","","","713.2","","","","","","","","571.57","","","","","","","","","","","",""
"95","2022-04-13 16:10:09","3","de","1866471177","2022-04-13 15:56:27","2022-04-13 16:10:08","16","Gruppe A - Termin 2: H-off","sehr souverän","","sehr souverän
Ende Eingewöhnungsfahrt: ""Ist natürlich sehr ungewohnt, die Hände vom Lenkrad zu nehmen""","1x Abwurf am anfang in Baustelle (auf mittlerer Spur)
1x Abwurf am Ende von Baustelle (sehr enge Kurve) (Trigger)
Trigger: Fahrzeug viel zu knapp vor Fahrzeug eingeschert, System bremst da nicht ab weil anderes Fahrzeug noch nicht genug in eigener Spur; Fahrer bremst
Trigger: Fahrzeug schwer in eigene Spur ein, System beschleunigt gerade, bremst erst sehr knapp davor

","","","Insgesamt recht hell, teilweise sonnig (eher tiefstehende Sonne) und teilweise bewölkt","Triggerknopf nicht gedrückt. Für mich war das schon nachvollziehbar, dass wenn der abrupt einschert nicht gleich reagiert. Fand System auch sehr stabil und klar. ","Allgemein war Aktivierung genauso wie beim BMW einfach und simpel. Das mit Standbye auch ganz ok. ","Ein mal in Baustelle hat sich Fahrbahn verengt, aber das finde ich gut dass ich drauf hingewiesen wurde dass ich selbst wieder Kontrolle in die Hand nehmen muss. ","Nein ","Hat schnell angesprochen, Bedienung wie beim BMW ganz optimal.","Muss sagen, dass man mit dem bissl flotter unterwegs ist. Vermutlic hweil man selbst Spurwechsel macht. Beim BMW immer abhängig davon, wann der BMW den Spurwechsel einleitet (hats immer mit Spurwechselassistent gemacht). Auch von der Beschleunigung beim Überholen oder Wiederanfahren, ging hier schneller. ","Ja","Ja","Ja","Eher ja","H-on","Hände weg: Wenn man sich mal damit angefreundet/abgefunden hat, dann ja. Man wird bissl müde/träge dadurch dass man so entspannt ist, aber muss geistig voll da sein ","Nein","Nein","821.12","25.68","","","203.55","","","","","","","","591.89","","","","","","","","","","","",""
